Fiyat,Ürün Adı,Kullanım Amaç,İşletim Sistemi,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Hızı,İşlemci Markası,İşlemci Serisi,RAM,SSD Var mı,SSD Kapasitesi,GPU Modeli,GPU Var mı,USB 3.0 Var mı,USB 3.0 Adet,USB-C Var mı,USB-C Adet,HDMI Var mı,Pil Gücü,Pil Hücre Sayısı
"35.899,00",Acer Nitro 5 AN515-45 Notebook (NH.QBSEY.003-32),Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,AMD,AMD Ryzen 7,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 3080 100W,Var,3,Var,1,Var,59.0 Wh,
"91.098,46",Lenovo ThinkPad P17 G2 20YU0023TX021 Notebook,İş/Mobil,Windows 10 Pro,17.3 İnç,1920 x 1080 Piksel,,Intel,Intel Core i7,40 GB,Var,1 TB,Var,NVIDIA RTX A2000,Var,2,Var,3,Var,94 Wh,
"64.999,00",Dell Precision 7670 XCTOP7670EMEA-VP-1 Notebook,İş/Mobil,Windows 10 Pro,16 İnç,1920 x 1200 Piksel,,Intel,Intel Core i7,16 GB,Var,256 GB,Var,NVIDIA RTX A2000,Var,2,Var,3,Var,83.0 Wh,6 Hücreli
"25.201,00",HP Victus Gaming 16-s0025nt (7Z591EA) Notebook,Oyun,FreeDOS,16.1 İnç,1920 x 1080 Piksel,144 Hz,AMD,AMD Ryzen 5,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4050,Var,3,Var,1,Var,70.0 Wh,4 Hücreli
"30.699,00",Monster Abra A5 V17.3.9 Notebook,Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,32 GB,Var,500 GB,Var,NVIDIA GeForce RTX 3050 Ti 75W,Var,2,Var,1,Var,41.0 Wh,4 Hücreli
"28.349,00",Casper Excalibur G770.1265-DFJ0X-B Notebook,Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 3050,Var,2,Var,1,Var,52.0 Wh,3 Hücreli
"59.400,00",Lenovo ThinkPad P1 (G4) 20Y3000KTX Notebook,İş/Mobil,Windows 10 Pro,16 İnç,2560 x 1600 Piksel,,Intel,Intel Core i7,16 GB,Var,1 TB,Var,NVIDIA RTX A2000,Var,2,Var,2,Var,90.0 Wh,
"37.787,00",Acer Nitro 5 AN515-58-503P Notebook (NH.QLZEY.00123),Oyun,Windows 11 Pro,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i5,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4050,Var,3,Var,1,Var,,4 Hücreli
"47.329,00",MSI Katana 17 B12VEK-083XTR Notebook,Oyun,FreeDOS,17.3 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4050 105W,Var,2,Var,1,Var,53.5 Wh,3 Hücreli
"45.092,53","Lenovo Legion 5 (15.6"") 82JH002JTX07 Notebook",Oyun,FreeDOS,15.6 İnç,2560 x 1440 Piksel,165 Hz,Intel,Intel Core i7,64 GB,Var,1 TB,Var,NVIDIA GeForce RTX 3060 130W,Var,4,Var,2,Var,60.0 Wh,
