Fiyat,Kullanım Amaç,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Hızı,RAM,SSD Kapasitesi,USB 3.0 Adet,USB-C Adet,HDMI Var mı,Pil Gücü,Pil Hücre Sayısı,FreeDOS,Windows,macOS,AMD,Apple,Intel,AMD Ryzen 5,AMD Ryzen 7,Apple M2 Max,Intel Core i5,Intel Core i7,Intel Core i9,Intel Xeon W
97999.0,1,18.0,4096000.0,240,32,1024.0,3,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
126099.03,0,17.3,8294400.0,120,32,512.0,2,3,0,93.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
48899.0,1,16.0,3686400.0,165,32,1024.0,3,1,0,64.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0
69098.0,1,17.3,3686400.0,165,64,1024.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
69699.0,1,16.0,2304000.0,144,16,1024.0,2,3,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
67548.0,0,16.0,4096000.0,165,32,1024.0,1,2,0,82.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
67341.0,1,17.3,3686400.0,165,64,1024.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
69305.0,1,17.3,3686400.0,165,32,3072.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
67209.0,1,17.3,3686400.0,240,32,2048.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
92999.0,0,16.0,9216000.0,165,32,2048.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
91089.48,1,15.6,3686400.0,165,32,1024.0,3,3,0,80.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
142312.5,0,15.6,7464960.0,60,32,1024.0,0,3,1,86.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
154399.0,0,17.3,2073600.0,144,32,1024.0,2,2,0,99.9,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
100977.91,1,15.6,3686400.0,240,32,1024.0,2,3,0,99.9,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
147529.88,0,17.3,2073600.0,60,32,512.0,2,3,0,93.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
73779.0,1,17.3,2073600.0,144,32,1024.0,2,1,0,53.5,3.0,0,1,0,0,0,1,0,0,0,0,0,1,0
95038.02,1,17.3,2073600.0,360,32,1024.0,3,2,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
60441.0,1,16.0,2304000.0,165,64,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
58843.0,1,16.0,2304000.0,165,64,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
61239.0,1,17.3,2073600.0,144,32,1024.0,2,1,0,53.5,3.0,0,1,0,0,0,1,0,0,0,0,0,1,0
101029.48,1,15.6,3686400.0,165,64,2048.0,3,3,0,80.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0
48500.0,1,17.3,2073600.0,144,64,1024.0,3,1,0,62.32,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0
64929.06,1,17.3,3686400.0,240,32,1024.0,3,1,0,65.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
98999.0,1,17.3,3686400.0,165,32,2048.0,3,1,0,90.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0
67764.0,1,17.3,3686400.0,240,32,4096.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,1,0,0
71999.0,1,16.0,4096000.0,240,16,1024.0,3,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
101677.93,0,17.3,2073600.0,165,128,1024.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
65583.0,1,17.3,3686400.0,165,64,1024.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,1,0,0
65780.0,1,17.3,3686400.0,165,32,3072.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,1,0,0
85318.0,1,16.0,2304000.0,165,16,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
